c this is a generated file
p cnf 4400 20000
-3924 1674 3524 780 0
1553 -3382 3432 -2450 0
2725 -964 -1130 1102 0
-3097 -745 1748 1825 0
2211 2013 -2432 3058 0
3254 -2710 494 -2906 0
1603 -1385 -215 -4062 0
4229 3813 2358 3367 0
-3289 2913 -2306 -3310 0
3188 -948 -3722 -3973 0
2539 -2152 55 -556 0
-2572 3326 -473 -1660 0
-3289 -3445 -4344 -3939 0
1721 328 4123 1913 0
1800 -2434 2057 -4298 0
-2800 -4086 -2593 -3931 0
-3517 -917 3559 -3335 0
-1849 1663 585 1418 0
-333 -516 3594 2769 0
4077 3095 1291 1503 0
-3377 -2594 -1316 3543 0
-3971 -1657 -4219 484 0
-1527 -2291 -1438 -3004 0
1058 -1785 3056 3567 0
-1217 4053 -2935 -3040 0
-4132 464 1132 1395 0
769 599 1744 -3570 0
4011 -1552 -4000 1385 0
-1709 2213 21 -3166 0
2895 3075 2872 -463 0
-3654 3360 1712 -909 0
475 -2168 -2201 979 0
2997 2682 114 -502 0
2380 -3013 1162 -3977 0
-1112 2818 -233 -972 0
3230 923 1313 2702 0
-1281 4374 1664 -3357 0
-554 354 2988 -1855 0
-3210 -2660 -63 2999 0
-1253 -343 1948 -1471 0
-3935 2047 3013 2373 0
1840 3407 878 634 0
3292 1269 4003 -3378 0
-3995 -255 3963 -1772 0
798 -1424 1715 3946 0
-48 -1995 3249 -3646 0
-2976 910 3688 -1090 0
-806 1979 -4117 -3983 0
3419 3376 2845 2820 0
-3175 -385 3302 555 0
-1458 2223 -3105 2579 0
583 -3303 1975 1973 0
3195 934 -418 -120 0
1625 -691 -3665 3816 0
-1873 123 -763 -872 0
2636 2470 -3896 -665 0
-1445 -874 2736 -2277 0
2345 1454 3221 1592 0
4371 710 2970 1800 0
3240 -1089 -1321 2398 0
1819 -2116 1608 -4134 0
2665 2915 -1112 -3478 0
1238 -1997 123 1503 0
-1288 1047 -1245 140 0
-3567 -3549 3295 -1986 0
-3384 2241 -128 1154 0
2097 3470 -1744 3372 0
-667 -3802 -426 3908 0
-3652 -697 3515 -2408 0
2051 -1404 -28 -3862 0
-1646 3159 -1075 2405 0
-2310 -2819 758 -2970 0
138 -1254 1784 -4152 0
3980 2007 -536 -772 0
-290 -3272 1934 -901 0
-970 -3665 91 -1123 0
-3310 4135 2388 -3433 0
258 3116 3883 2298 0
-1854 355 -185 -2993 0
-1351 -1948 3391 -2044 0
-113 -3838 -1152 -706 0
-3726 -1566 -467 600 0
1895 2319 -3702 -3337 0
4307 -953 -3075 2890 0
-3325 2442 1987 3441 0
-1055 2451 -2762 4310 0
1296 1702 1689 1612 0
1067 3710 -2144 -2785 0
-804 -3798 -3983 1918 0
-3209 -2683 -4185 2962 0
-2565 -1975 -288 -2188 0
2476 3768 2957 1394 0
2432 3658 1806 3446 0
-1132 3123 -3368 80 0
-1924 -1765 -1989 -1649 0
3383 115 -4005 3204 0
2118 4373 3253 1270 0
-4001 -4130 2023 -1388 0
-4342 4021 -3929 2134 0
-1933 2946 1294 -1714 0
883 344 -1615 -3807 0
355 -3222 3624 -2922 0
1282 3062 1470 2962 0
278 -673 1135 -1244 0
3668 1650 -2396 2162 0
3691 -977 3848 -1338 0
-1332 -3649 -463 -2297 0
4194 -2567 -2197 -711 0
988 3881 -3182 -1055 0
972 -4154 -933 -2060 0
-3015 2631 156 -3162 0
-1785 3420 -3915 4013 0
2181 1003 2508 2168 0
2429 -4048 -2366 -2671 0
3725 3749 2070 99 0
-765 2341 2111 3051 0
-1503 4108 -4030 -1509 0
2967 3508 -1697 -4162 0
-1987 -928 -117 -3271 0
-2869 2483 -2357 3365 0
2278 2072 -1807 1564 0
1253 -2792 -2707 2932 0
-490 1608 -3847 4184 0
-1223 2214 422 -4395 0
1244 -868 170 1576 0
3237 122 -1394 -3937 0
709 -2918 1199 -3320 0
237 -4184 -62 -663 0
2036 2496 -1362 839 0
-599 -3586 3518 3891 0
-2937 -87 3275 -184 0
-2450 -2277 -4039 -3729 0
3822 -3048 3545 -1343 0
-3652 3793 1500 1445 0
-3483 -4210 1363 -4271 0
-4344 1845 3008 -3583 0
2713 2380 172 -1983 0
3047 3126 -4141 -4145 0
1661 4070 429 -1062 0
-627 1524 341 -85 0
-1858 -2285 -3416 4320 0
3640 -3353 474 3404 0
-3337 -3078 -2057 1132 0
-1479 -2272 -865 1466 0
-722 721 640 3645 0
-3964 -2716 -3519 1720 0
-3554 -3325 2722 3436 0
775 -3606 -2174 -2873 0
2353 -4107 1072 -1247 0
-920 -1974 4142 -704 0
-1087 -447 -4158 -295 0
-4122 -2466 2752 2453 0
-86 -3922 -879 -2659 0
2779 -917 -2375 140 0
3955 -491 4321 3800 0
2220 -2996 -1397 2011 0
3696 -638 3871 704 0
2743 -441 599 -2995 0
1744 -4041 2007 -2256 0
1743 -3236 -69 3782 0
903 1528 365 -3017 0
-3699 -653 765 -2218 0
-496 -1148 3832 -1274 0
1916 2503 -1266 3280 0
-3219 2493 686 2724 0
1489 -3631 2942 -3338 0
-3176 2462 2553 2854 0
3635 -4340 -438 -1175 0
3485 2460 1831 254 0
3200 -1777 -2228 4188 0
-1779 4376 -2934 -2974 0
195 618 -2464 1189 0
2974 -4230 1080 -3144 0
-1923 -1954 1369 -3615 0
2363 -4301 -2262 2685 0
-226 -989 -4360 -444 0
788 1938 -3654 1881 0
-3931 4348 -185 589 0
4205 4317 731 -3155 0
-1338 3779 4183 759 0
4374 4039 4171 1472 0
3612 -938 -2221 -308 0
-1665 3099 -304 2263 0
-3348 -788 584 3863 0
-1156 23 -2787 -1438 0
2387 -4078 2580 737 0
332 1572 -524 -3829 0
-273 1067 386 2947 0
164 2241 2316 -2043 0
2922 3862 3736 2015 0
3098 3618 -3897 -3939 0
-2066 1475 1006 4355 0
-3758 1152 3528 2648 0
-3202 2148 65 -2717 0
3518 612 -2861 -3124 0
3975 2342 2008 3165 0
-3440 -3021 2800 -2761 0
-2071 -451 2942 -1235 0
-3871 -253 3291 347 0
-438 1825 -1546 -3587 0
1420 -4320 3789 2135 0
3862 1060 -4292 3826 0
1939 -1244 -2733 -89 0
-2646 -1463 2740 -1148 0
-1473 1103 -3436 3136 0
1925 -4 -2552 3593 0
-334 1673 -3139 -2759 0
3477 3422 -457 -2113 0
38 -643 -815 1961 0
1979 3592 162 1909 0
2428 -2142 3005 -2741 0
-3731 -2810 2751 -3190 0
-3022 816 2801 2004 0
-850 -1261 -1640 191 0
-3849 2021 -4159 4288 0
4099 3706 691 -2054 0
-32 -1457 3773 -3441 0
-529 -1545 333 2355 0
-3371 4138 4259 1400 0
1309 3508 -3669 3703 0
204 -2292 -2462 3382 0
3047 1680 -1976 -1956 0
1979 2383 -3299 22 0
2868 -1040 3437 -2314 0
2433 1255 -2757 -2280 0
-4295 -1213 -2316 89 0
2266 826 3798 -1189 0
-320 3120 -4388 -1001 0
916 23 -442 4012 0
-2123 3723 -2611 -702 0
101 -4198 2771 4302 0
2110 3027 -2905 -1007 0
-1246 -1854 -2632 1840 0
880 -2694 1231 -1369 0
-386 -3193 -2616 3942 0
-541 -2765 2210 768 0
-2765 2250 -3114 3284 0
4230 -2693 -3848 1248 0
-588 -3151 -4096 1582 0
2556 2114 1949 2905 0
4156 -2319 -4079 -3182 0
2878 -2067 -2997 2694 0
-3836 -2546 -3616 3894 0
3373 -994 3201 -3660 0
-3701 -474 -3733 -178 0
3562 2137 -1785 -1441 0
-1615 -3296 -3580 1041 0
3870 -1179 1282 -515 0
-1147 -1400 -1788 -3624 0
-1680 -924 -2833 -2216 0
-2622 4074 -4201 1407 0
4303 1915 -2876 -452 0
-903 -4147 863 63 0
-4373 -3779 -3169 1444 0
-27 4224 -2712 -3750 0
3075 2246 3020 -4113 0
203 -4349 2856 -1579 0
-2550 3185 -2233 4280 0
-914 -1221 450 3003 0
-430 -4339 -1520 2598 0
-1655 1167 -848 -1950 0
1601 -2619 -450 -1135 0
267 2893 1277 -1992 0
512 2576 -1483 3986 0
-805 -744 986 3013 0
2792 -3365 -2682 -2718 0
2272 -3707 1986 -108 0
-1418 3555 -907 -3551 0
-2214 -1417 -3220 3890 0
2659 3623 4106 3511 0
3942 2740 1023 3149 0
4395 -1187 752 -3510 0
3043 494 -1895 268 0
-3532 -407 1945 3939 0
-255 2805 -4231 -3001 0
-426 -1148 1317 2359 0
1596 -1530 3641 4136 0
-3752 -2549 1648 926 0
3538 1174 -988 2798 0
616 1866 3070 2815 0
-3306 -1638 1091 -662 0
2143 271 1384 3523 0
-2728 -2983 -1794 -3847 0
4318 -3182 -3595 -2268 0
2132 3822 379 3469 0
-3832 4356 3027 -1224 0
4029 2060 -2773 503 0
-4298 3259 -2541 -3426 0
-1250 -3160 2947 -402 0
2695 1783 -1658 -831 0
4235 -3373 -2118 -2767 0
1610 -2714 -2931 4088 0
-1160 1218 2662 159 0
368 3853 4078 3391 0
-4119 -2398 -174 -3684 0
-8 -1912 1955 2449 0
2192 4255 -1681 -301 0
-3745 -1200 2296 -218 0
1548 3392 3400 4186 0
2663 1099 -4221 -259 0
-1475 1486 1010 1527 0
-2002 -1334 -1523 -3769 0
1677 -299 -3064 4389 0
1600 -2590 3161 -1274 0
366 -863 -4288 50 0
1936 -3334 -3455 3242 0
-1214 -1605 -3057 2502 0
-3278 1791 1427 -1848 0
3473 -3486 -1488 -2374 0
2802 4043 2323 3537 0
-3775 1092 429 432 0
356 -837 3050 -3575 0
1115 -2388 -3351 3212 0
-4071 -3501 -4384 3548 0
4183 -2245 -1153 674 0
-377 3689 -3699 1479 0
-4256 4148 329 -4082 0
4227 -2892 -477 3698 0
-3035 -3465 1213 4074 0
-1168 3472 776 -3021 0
90 2738 -2173 -489 0
2519 3489 3765 -1650 0
1015 2833 379 -228 0
1698 -1861 -4308 -537 0
3608 449 3598 3892 0
-429 -4005 4194 494 0
-3017 2916 -1561 -3094 0
2556 3004 -1731 1793 0
3272 657 -2305 328 0
599 -1118 -389 571 0
2087 -1443 3221 738 0
-2789 3005 2182 -2375 0
-1673 -1948 -267 -2659 0
3294 2853 3895 -2161 0
-3912 345 1937 -2599 0
-4036 948 -126 3054 0
-3805 598 2813 3815 0
-1104 -163 1157 -2704 0
-660 -1745 1299 785 0
1487 -393 -1591 3811 0
-2415 -530 3685 -491 0
4288 2450 3472 4077 0
1292 -1551 3622 2721 0
230 968 3600 -2149 0
-2985 -224 3678 -47 0
229 1985 -3228 -1648 0
-2489 -4192 -4009 2205 0
4074 584 -1203 -3799 0
296 2610 3202 -2285 0
2513 1853 2625 -3338 0
-1691 1278 -1188 2572 0
46 2633 -1554 1212 0
222 -2492 -2268 -4332 0
-1451 1419 1687 -996 0
-809 3455 -4235 550 0
1981 1917 -2696 -2897 0
-59 -2437 -913 -2733 0
842 2825 798 80 0
-378 3983 -3737 3389 0
1780 -3461 2287 3040 0
897 3766 -2558 2676 0
-1636 2812 290 2537 0
2508 -3653 4124 -1220 0
2124 -3913 -3291 2147 0
-428 -1303 -3354 2375 0
-198 -1884 2958 1486 0
4317 3217 -1357 -2231 0
4070 3622 -3925 2847 0
3167 1845 1132 -4182 0
-528 -3166 -145 4206 0
-1777 2717 -3500 -1646 0
-2657 1681 2506 3274 0
-2485 -1706 419 -165 0
-1673 -441 -775 -3946 0
1032 577 -3996 1671 0
2690 -1322 -3566 630 0
-2551 1742 1626 -1532 0
4036 4222 652 -840 0
-2869 334 -2192 862 0
1862 -4135 1507 -1404 0
-2584 -2509 1792 -2930 0
3136 4261 -1147 -4146 0
-4251 -3669 650 -1464 0
2164 1284 3875 1121 0
3852 -916 -310 -1208 0
-1866 -2416 1183 -2118 0
2726 2648 2723 -564 0
136 -3946 4092 -2663 0
1199 -2799 -950 -601 0
-1587 2151 -34 -3228 0
-2092 -3665 3954 2265 0
-2085 -1355 -618 -1166 0
-2727 3622 -4255 3029 0
-2260 831 -369 -272 0
-3488 -389 868 2037 0
2754 3308 399 1189 0
-332 -1768 1398 -4329 0
3406 3168 -466 -2664 0
2321 2697 3157 -2234 0
-3656 2740 -1361 2159 0
2080 -355 -1188 -1687 0
-193 2887 3854 2206 0
187 -1213 -1700 -807 0
2271 -471 -4032 3346 0
-246 2782 118 3938 0
577 80 4143 3977 0
3179 2927 -2 3930 0
-3348 1269 -3180 -1351 0
-2772 4393 3621 -307 0
-1473 -1682 1407 -3369 0
1622 -1580 -3661 4275 0
2312 3733 -957 -2965 0
2392 3227 -1032 -2046 0
-3849 -295 1919 -462 0
-209 3979 3848 -3070 0
-1938 -1700 -3430 4131 0
-3872 1653 2090 -4380 0
-2960 -1319 -270 -1822 0
36 -2480 2321 1511 0
-4291 2588 -3632 2247 0
-3859 -574 1732 -3308 0
2722 -3352 -111 1140 0
-2851 -1758 1101 -3176 0
2423 2424 -1350 3328 0
2349 -1786 2070 3864 0
-870 3583 248 -4151 0
-2000 2969 -1147 1481 0
-238 4290 -3681 -1099 0
-3911 -74 2100 1051 0
-2375 -2607 4150 -3018 0
-4322 1944 988 2201 0
-1435 2186 4167 4398 0
3951 -559 -2769 -1208 0
-1165 -1916 -1507 -1353 0
-3184 -2812 -4381 1911 0
-1853 4354 -4130 134 0
-3486 337 -3761 -3618 0
-4055 3202 1059 1096 0
93 -1923 536 3254 0
-1749 -1542 3142 2484 0
-3424 519 615 569 0
928 727 -2625 1428 0
3979 -4021 2599 -167 0
718 -1574 -4211 1420 0
-3144 2535 3204 -3436 0
-962 -4331 2479 2700 0
-3528 307 -1640 2039 0
1099 1981 -3675 3978 0
-3611 3672 -594 1555 0
-2917 3879 3269 -3721 0
2993 3155 -96 -2780 0
-2784 3055 -2419 -1003 0
3114 -90 -929 -3997 0
2542 -3161 4175 -1928 0
144 -4026 -1102 -1075 0
-246 -1324 -1868 2859 0
1956 -3161 -1887 3811 0
-704 1366 -3517 1853 0
-1580 3724 -1774 945 0
-4300 -4259 -666 4242 0
-1066 693 986 863 0
-2437 584 974 -1733 0
2462 -1943 4225 2168 0
-377 -2633 4193 -4128 0
-1738 -3178 2353 -2707 0
2398 -3664 -241 1625 0
-2029 -4089 -4128 924 0
-1113 2533 -3159 -4274 0
-739 2466 -3040 -99 0
531 -1989 -1196 -635 0
1556 -3613 -1958 -3817 0
2586 273 -716 -4141 0
4247 -2469 -3460 756 0
2442 -4260 2714 3796 0
401 2922 -2489 -10 0
-2063 -91 542 -1506 0
624 -2797 -434 79 0
-2900 -3889 -1422 -4349 0
2208 4269 1333 1681 0
-4085 1838 -404 -1665 0
-3462 -1855 3166 -3590 0
2037 3789 -2135 -1761 0
587 764 2081 -1218 0
589 1925 -746 2048 0
-1918 -258 2220 1696 0
3874 -2377 2582 682 0
-2118 -1778 -4054 1403 0
1540 -2471 -54 1683 0
-4237 -2275 2335 -2488 0
3397 -1806 2799 1052 0
667 2653 -3880 -3198 0
-4284 2203 938 1797 0
285 -14 -2989 -4143 0
-2373 -3203 -4358 -1829 0
2468 3309 2354 -2206 0
-1069 -2013 -3793 -443 0
468 318 54 -1071 0
2423 -934 -737 2480 0
-2380 3583 -2885 1812 0
3949 820 -4224 155 0
1903 127 -4168 -3134 0
-4007 441 -3202 -1332 0
-2747 -966 -1998 414 0
-1044 -1354 -2087 2462 0
-1144 -471 -2326 -1658 0
-2492 -988 -1909 -1165 0
3589 1372 -707 1308 0
-3967 -4011 3389 -2348 0
-4371 -2292 2512 -2045 0
3645 -668 435 -2663 0
1607 -3684 2906 34 0
-4134 553 2850 -2648 0
-883 4214 -100 1076 0
-2472 4175 -1699 3 0
156 -930 247 -464 0
231 825 3257 2548 0
4129 44 -3424 -3818 0
3602 -1881 835 755 0
3469 -4193 -469 3654 0
3202 -2981 2743 1172 0
3082 825 3046 2504 0
60 3550 4205 4325 0
-3619 -2181 -773 2725 0
3896 3728 -1544 -3126 0
4273 2765 -3964 -1942 0
-2994 2287 3428 -3618 0
378 814 3428 -1119 0
3410 -3708 -1432 2479 0
2923 3454 -2761 -2672 0
3103 450 -2772 -2200 0
1211 -362 -1361 277 0
-4039 3343 2417 -2060 0
-1302 2001 -2620 -1207 0
3947 -273 -3852 1048 0
992 3320 2959 -4222 0
1773 -606 3056 -2543 0
3805 4035 -4335 -1377 0
-1626 4334 2651 -2103 0
-4000 -1353 1738 -680 0
701 3459 -1739 2164 0
160 -1648 -2277 -278 0
336 395 23 2253 0
143 -2764 464 -964 0
-3493 -4387 -790 -1902 0
-2789 1115 2413 1534 0
-2201 -3136 1279 3944 0
1806 -1397 2860 -1186 0
-1732 -2957 2361 -1944 0
-2689 -1723 -3850 2730 0
-858 3438 -265 -3624 0
-1136 1970 -36 -3235 0
-998 -1640 -1222 -4262 0
3756 301 3745 -515 0
1905 375 3927 4287 0
-736 2073 855 142 0
1515 1164 3380 -4232 0
-3138 2948 447 2463 0
-2102 3149 787 907 0
-2518 4312 2813 -4359 0
-4356 -2394 -792 3560 0
-2215 -2513 2951 -939 0
1669 812 -1762 2730 0
726 -2738 2125 2863 0
1739 1124 131 1471 0
3734 -3183 3353 -2513 0
-1097 1776 612 3854 0
-3921 -1522 -3110 -522 0
-4358 -1558 3325 4171 0
-1309 3142 406 2787 0
77 1498 208 4191 0
4238 3711 1631 2549 0
1149 -3726 -1866 -1822 0
3468 -2839 1348 3023 0
438 2594 -2533 -1363 0
-4050 1397 -1646 -2174 0
520 2398 -103 3799 0
-2229 -3405 -3313 2976 0
-1930 3955 -3777 3449 0
251 3984 2542 -3491 0
-11 -3731 -3366 -2779 0
-3469 3766 -2203 2638 0
2982 1149 1437 -3583 0
-7 4056 1274 -970 0
-150 -876 -2511 -3598 0
818 -3409 -2663 3135 0
814 4373 -127 3145 0
3317 -1696 -506 979 0
-645 1767 -1484 3350 0
-1185 1140 2913 2484 0
-1015 1103 -1417 1502 0
-2670 1695 -4184 4046 0
4092 2498 3979 2875 0
-2332 -1735 -3917 2111 0
3706 1807 2066 -2169 0
2248 1545 -2938 -2445 0
-2687 -3065 751 18 0
-3881 -3903 796 3125 0
999 1613 3969 1024 0
-930 -624 532 -2329 0
251 -3866 -1373 -787 0
4214 4134 -478 -3659 0
4070 -329 620 3549 0
2406 -3735 -1748 -4348 0
-1178 -3700 4274 -4380 0
3267 3979 3290 4002 0
2950 -4323 453 2429 0
1641 -2862 1554 -3630 0
946 -4162 3542 4080 0
-1385 -2415 -3319 1156 0
4128 -2349 2350 -2140 0
3250 1155 3727 -2059 0
-1628 4142 2955 4169 0
4128 -2742 1624 -2279 0
59 1730 1197 1092 0
4395 -3708 -3566 2784 0
1306 4216 3126 -295 0
-3733 -3966 -788 3293 0
-1003 -1046 1004 2626 0
3459 4024 2314 -4375 0
1492 -3004 -3511 -442 0
-3480 2451 1204 -1892 0
3976 -3498 3920 -3677 0
-3274 -4235 -3246 3673 0
-2031 -2108 3873 -2232 0
1410 902 -76 -3256 0
3781 -3076 3970 -1422 0
-3582 3379 317 -1174 0
1880 3469 1046 3169 0
4279 2468 -2884 -2797 0
891 -1038 -4157 -2155 0
-1858 -601 -552 -3344 0
-761 -2436 -1813 -3760 0
2096 -1627 -2323 -4168 0
-811 2597 3488 928 0
-3908 4222 -4336 1634 0
3153 431 2262 -2753 0
-152 -3674 -3034 -1520 0
3540 1062 -4269 -2871 0
-3572 -745 3445 842 0
-3177 1737 -225 4260 0
-963 4096 71 2883 0
217 2634 3844 1317 0
4381 -939 1780 3984 0
-1737 -4057 4097 4363 0
-3004 3036 -606 -1192 0
-2536 -2775 759 29 0
1360 -3097 -2642 -3587 0
1992 -3743 4060 1504 0
2713 -1493 3461 491 0
-29 1757 1084 604 0
931 -1195 4284 1738 0
3041 -2204 2189 -4181 0
2793 4342 316 239 0
3404 -2102 -1457 406 0
-365 -3260 -1201 2233 0
850 -3201 4064 3186 0
2669 -2516 -2188 -1204 0
4008 4272 64 -146 0
2897 458 -2787 1082 0
2668 3114 -1609 3129 0
-2959 1511 -2937 -37 0
493 1687 3789 1466 0
-3083 2971 2520 -4032 0
-2747 2039 805 3152 0
3980 -145 4079 -2121 0
-1127 3169 39 -3838 0
3515 -4156 1219 -2193 0
-706 405 2377 -227 0
2296 -2917 -1790 2088 0
3087 2012 2240 -1522 0
998 4374 -3238 -3407 0
3072 -2484 -2424 -2831 0
2220 -4245 3243 2054 0
2249 2959 -535 -2025 0
-1260 350 -4398 514 0
-1767 2013 3855 -3011 0
3812 -2478 954 -2231 0
194 1727 969 -2899 0
-3929 2438 -777 -3128 0
1498 -3089 2451 -475 0
-3924 -395 -4353 -1386 0
837 144 3705 2924 0
3197 -1485 2319 3483 0
-3631 -1333 2470 129 0
2595 -3775 924 1502 0
3684 1864 -3719 -3429 0
700 -1543 1734 -382 0
-4152 -92 -3916 3213 0
748 -4335 -899 -3931 0
1090 4051 -713 -1394 0
-1484 3418 -4393 1711 0
-2725 2201 -4326 -1454 0
2694 2619 -4138 -876 0
3024 -1417 -3468 1607 0
3673 -4385 1870 -4173 0
-593 -1171 3924 -3357 0
2784 -1089 1640 -2270 0
2311 -1655 2955 -177 0
-3299 -420 -4161 -1050 0
-2125 3126 -3612 -3843 0
-270 -3108 -1978 10 0
2250 4279 -1985 -3730 0
-2103 -4320 -2950 2258 0
3231 -3092 3619 2346 0
-3505 2631 -1711 -308 0
3672 1398 736 4182 0
2378 -388 1178 608 0
3334 3895 -1340 431 0
1871 2455 -2768 -3037 0
5 -4033 -2172 3446 0
-3639 3813 -3742 4075 0
1094 466 -2138 -630 0
4005 1825 528 1200 0
2847 -3189 -600 -2077 0
-1651 -4329 -516 1167 0
-123 1832 2778 -941 0
769 4150 3497 177 0
-2966 -338 -1907 -1737 0
-2007 -3649 -4222 -3798 0
-4353 2405 2442 -752 0
3840 3885 -4227 1427 0
-3681 561 531 -2889 0
-3044 -3859 -49 1633 0
-831 728 3543 -3690 0
3001 -1116 -1306 3539 0
-1037 2925 1046 699 0
